Price,Close,High,Low,Open,Volume
Ticker,TCS.NS,TCS.NS,TCS.NS,TCS.NS,TCS.NS
Date,,,,,
2008-10-07,98.10372161865234,113.2817713331057,96.41726702938018,107.51547780835774,8884604
2008-10-08,93.11251831054688,95.89772349213831,86.53706808356971,94.5434503668921,8301380
2008-10-10,89.39891052246094,93.69169575276482,81.8354364868718,91.98821037544181,13742076
2008-10-13,97.58415222167969,102.70313391686656,89.3989073532604,89.93550938699438,13866024
2008-10-14,100.96556091308594,105.51386807243776,99.03209914451674,102.03875441428752,7424624
2008-10-15,92.51631164550781,100.275697950588,91.18759477214226,99.6539214612026,5308752
2008-10-16,84.32251739501953,90.06326459813016,79.70607146356734,89.43297299471769,8031800
2008-10-17,77.31266021728516,90.11434770283027,75.80507509973434,85.17424168509477,9743540
2008-10-20,83.70077514648438,86.02603220497278,77.55119041844328,84.6036205337396,12413060
2008-10-21,95.2418441772461,96.7409193263052,84.04143526729976,91.7156384715095,11804900
2008-10-22,93.12106323242188,94.54346983591688,87.0651675859183,94.54346983591688,6020668
2008-10-23,93.23174285888672,100.16492969804827,85.38719559718827,89.37335512162224,10501016
2008-10-24,84.97837829589844,91.37496970006777,74.95336472429844,85.80456983315271,8479936
2008-10-27,84.62063598632812,88.2405424074846,70.75426607630551,81.93764652123569,8972576
2008-10-29,92.6842041015625,98.54552248769731,90.87611008539392,96.3175367618885,10955572
2008-10-31,92.11868286132812,101.97323963253997,90.79045999216478,97.517266135992,10375980
2008-11-03,93.81537628173828,99.91662757194489,90.32771413740679,95.96623812795185,7532020
2008-11-04,87.1485366821289,102.24742351407724,83.97794095229727,102.24742351407724,9422540
2008-11-05,86.78865814208984,94.07246672043763,85.69180409570733,88.26255821857855,9233164
2008-11-06,85.7260971069336,90.57625192992256,82.62405223888219,90.57625192992256,7861916
2008-11-07,90.00210571289062,91.69023006353514,83.24958738946205,85.6918037976964,5877720
2008-11-10,93.65258026123047,94.68944905929686,88.27113046536432,94.24385583612936,4099016
2008-11-11,90.63619995117188,93.87535372058835,89.11945948828104,92.88989815893908,6498776
2008-11-12,91.67305755615234,95.0236035916103,88.27108809157697,90.63617879540489,7742044
2008-11-14,90.9789810180664,94.0039057802141,89.71931572642129,93.4040631726831,6617464
2008-11-17,88.94807434082031,92.0329786532187,86.63439610652152,90.66191006993053,8090972
2008-11-18,82.80396270751953,89.1194476908871,82.26410556081886,89.1194476908871,9755152
2008-11-19,82.71826171875,85.00623294589634,80.84161515776825,83.97793174090566,8175088
2008-11-20,81.06441497802734,82.26409976628567,78.83642894269043,82.26409976628567,5016448
2008-11-21,86.7972183227539,88.60531304424119,78.83644874342542,80.49887160249112,6845692
2008-11-24,89.10232543945312,91.11608245955235,84.0207982215866,86.37732239404313,8370556
2008-11-25,86.3773193359375,92.53856077351207,85.7003521419145,88.96520706044421,5774020
2008-11-26,90.39627838134766,90.83330445219313,85.20335236604778,86.24879333125698,6135556
2008-11-27,90.39627838134766,90.39627838134766,90.39627838134766,90.39627838134766,0
2008-11-28,95.87198638916016,97.34588110910715,88.7767014340097,88.7767014340097,12138064
2008-12-01,96.68608093261719,101.75903229529393,95.34928022422805,95.87200867425483,11958704
2008-12-02,91.32170867919922,97.68861092637592,89.6421521974614,97.68861092637592,6658808
2008-12-03,91.65593719482422,94.55232390320602,89.3936718293902,91.9215796537767,9997992
2008-12-04,94.15816497802734,94.8951124516749,86.26594614176136,91.69023666675183,8256508
2008-12-05,89.42794799804688,93.45546204005164,88.81953839442444,92.27292164014256,7105448
2008-12-08,89.50508880615234,93.61829537646858,87.81696446042181,91.69022979663285,7621404
2008-12-10,92.7270736694336,95.42636475758424,90.7475956302076,94.22667982951728,8088380
2008-12-11,87.00286102294922,94.20954267974243,86.03454497908736,94.20954267974243,7300252
2008-12-12,82.48690032958984,87.39704320975058,81.45003194660433,87.39704320975058,7121036
2008-12-15,80.49028778076172,86.03454698404255,80.07896828345395,86.03454698404255,5997716
2008-12-16,82.1527328491211,83.10390977342718,79.6933770489862,80.550295081771,5847868
2008-12-17,81.8013687133789,84.32070906408539,80.89303796391931,83.18100946932238,6476068
2008-12-18,87.49130249023438,88.10827908758348,80.8930357990022,81.39004704918271,5723936
2008-12-19,88.01402282714844,91.51881862889756,84.68061581109518,86.20592840886793,4943988
2008-12-22,87.49989318847656,89.03377847077013,86.27450151831881,89.03377847077013,4106852
2008-12-23,85.79463195800781,87.67985157453121,84.36357783942255,84.8691615559388,3567120
2008-12-24,81.94705200195312,86.50585595728471,80.93588999668688,85.1262203268212,9148436
2008-12-26,80.83305358886719,84.83486068966427,79.72763278467397,79.72763278467397,3154564
2008-12-29,81.71566772460938,82.17840536305486,78.83642641711207,81.57856298814205,4875608
2008-12-30,82.70114135742188,84.5777935806268,80.55027960059697,83.12103320487132,3522528
2008-12-31,81.90422821044922,84.3721512098,80.93591183590343,84.3721512098,2543696
2009-01-02,85.400390625,87.18278309786412,84.68915019045602,85.18616126337777,5375740
2009-01-05,88.30538177490234,89.63360440227837,85.34901528171056,86.03454954100141,4829776
2009-01-06,86.78865814208984,89.46224347591846,85.39188278137235,88.26255821857855,5918992
2009-01-07,86.51441192626953,89.08516511619685,79.62479651539078,88.94806037148501,9013828
2009-01-09,92.02439880371094,94.22667322601288,83.12102133371617,85.67463516988508,14219980
2009-01-12,87.84263610839844,90.83328113599819,86.56583180414158,87.68839196005872,7595416
2009-01-13,90.08779907226562,92.03299886789166,83.66948076490579,85.62325287918719,13359808
2009-01-14,92.3671646118164,95.56346148241013,90.49051268284359,90.49051268284359,5958904
2009-01-15,87.48271942138672,89.63358049412349,85.40897779412313,89.11942993679581,7171524
2009-01-16,86.20591735839844,88.94805389464968,83.37808905538934,87.18280559152208,9790076
2009-01-19,85.8203353881836,88.75956823317686,83.51522393819342,88.75956823317686,6868376
2009-01-20,85.0833740234375,87.04571272963332,83.97794792297903,84.78345278085543,4635196
2009-01-21,84.37210845947266,85.86314724015828,83.12101080135083,84.14931196590364,3669860
2009-01-22,85.10906219482422,86.3858663574601,82.8039516201563,84.83484750029636,4848136
2009-01-23,83.31813049316406,85.50327124627499,82.82968621995568,83.99509775974207,3031220
2009-01-27,85.53755950927734,88.26255782121005,84.14935124313423,84.14935124313423,5243956
2009-01-28,87.49451446533203,87.934183276981,81.93397052281706,81.93397052281706,4789396
2009-01-29,88.62386322021484,89.31354308963286,85.5375468569372,88.28764217913763,10017036
2009-01-30,88.21005249023438,88.79627930121427,85.91686386768178,87.07207970313245,8707524
2009-02-02,84.70994567871094,87.72729574223695,83.99440371601439,87.72729574223695,3234692
2009-02-03,86.18408203125,87.89965675899278,85.00300474660214,85.00300474660214,3808560
2009-02-04,85.97724151611328,88.4342320513947,85.00306946006499,86.72726965195272,2484756
2009-02-05,83.2616195678711,86.65829577950066,82.45986759500815,86.21000271302474,4341548
2009-02-06,86.6927719116211,87.57211494386875,83.96853807869141,84.48579806685584,6840388
2009-02-09,88.79630279541016,90.28774005183499,85.63239464343852,86.21000271399045,4595224
2009-02-10,90.45152282714844,91.03775500445256,88.10661516529404,89.14113510852647,6790772
2009-02-11,88.753173828125,90.17563848879917,88.2790189412336,89.31353869445118,4502732
2009-02-12,87.91693115234375,88.9169700160316,86.91689755049516,88.27901409847487,2844372
2009-02-13,88.1410903930664,89.65838401786354,87.41692441741695,87.93418432521231,3257208
2009-02-16,86.33926391601562,88.78762857213847,85.86510919655673,87.52034126958078,2501996
2009-02-17,83.66677856445312,86.17548666705963,82.76157385046368,85.52029297881246,2950388
2009-02-18,82.89091491699219,84.6409768628715,82.24433991763968,82.99436796925676,2629412
2009-02-19,84.39956665039062,84.96855038824178,82.58915715125048,83.10641700814766,3477072
2009-02-20,81.73567962646484,84.05473018449601,80.05458502277493,83.88231022514319,4771388
2009-02-24,80.84768676757812,82.0201451969682,79.39936071888454,81.03734970222744,4495532
2009-02-25,82.89091491699219,83.58921381155658,81.03739991884832,81.03739991884832,5517928
2009-02-26,83.14091491699219,84.5892416697319,82.24432893290373,82.93400884009789,8808288
2009-02-27,83.29610443115234,84.31338139562297,78.4942062992993,83.10644137564472,6750148
2009-03-02,79.28730010986328,83.1064002298856,78.41657636943889,81.74428393408708,3988944
2009-03-03,76.93379211425781,80.34770538869832,75.7527142766697,77.93382582766446,3560896
2009-03-04,79.40801239013672,80.08045445984084,76.93379011388181,77.24414394463778,3258300
2009-03-05,79.86490631103516,81.19253649242211,78.96832065303398,80.16664116069195,4284496
2009-03-06,83.0546875,83.59780926057611,78.90798477105497,79.31317268387299,5805604
2009-03-09,79.83043670654297,82.76157585127564,79.14075690778233,81.22703935140109,4535184
2009-03-12,82.31329345703125,83.62368629463475,79.59767890210239,79.59767890210239,8617456
2009-03-13,87.39105987548828,87.93418171015364,81.61499107688014,81.61499107688014,10199700
2009-03-16,89.62389373779297,90.14115362145512,86.62378746492041,87.93418022256579,4672896
2009-03-17,85.78754425048828,89.31353434228929,85.01165447338346,88.79627449088608,6946172
2009-03-18,87.09793090820312,88.71005838605114,86.20996927701763,86.20996927701763,6413800
2009-03-19,88.78767395019531,89.31355280308348,86.4858660833076,87.15830297675424,7382584
2009-03-20,87.89968872070312,91.19291609172843,87.15828503777823,91.19291609172843,4139380
2009-03-23,89.59803771972656,91.31360792760313,88.10660083467761,90.43427032835304,4587312
2009-03-24,89.94286346435547,91.81361555300668,88.31349297093277,90.03769232404088,6681544
2009-03-25,90.6928939819336,91.36533599849542,86.83930703508624,86.83930703508624,3831616
2009-03-26,96.28789520263672,99.65008325064296,88.39106589205463,88.39106589205463,15230328
2009-03-27,99.11563110351562,100.86569828320101,92.52919563456629,92.52919563456629,7079424
2009-03-30,90.21875,98.27938365981845,89.31354515050167,92.02915969899665,5148188
2009-03-31,92.85677337646484,93.77922653650774,90.52048487165617,90.52048487165617,4777672
2009-04-01,93.8826904296875,95.48619433229017,89.74461041074811,92.41712042297979,6724568
2009-04-02,99.78805541992188,101.2105201408106,94.08095874922192,94.08095874922192,8503764
2009-04-06,99.9260025024414,102.41747344778447,99.26218975438185,100.8312074445304,5414580
2009-04-08,104.16751861572266,105.81412705899601,96.72759344849275,100.882910098395,10193512
2009-04-09,103.89164733886719,106.8831400323737,102.46056374053794,105.52101810552665,6586724
2009-04-13,102.11575317382812,105.00378840500012,99.17599404325222,104.2278983428942,4121008
2009-04-15,99.6070327758789,100.31395054278113,94.83961572573287,95.09824571708948,9767236
2009-04-16,98.63285827636719,101.55537936276544,97.796625491087,100.00359937250246,8868964
2009-04-17,98.81388092041016,103.36577235275574,97.43452115590298,99.45183691623069,6664024
2009-04-20,96.79660034179688,100.31396232309753,95.30516300702176,95.30516300702176,5330200
2009-04-21,94.9603042602539,101.46915852412062,93.96888937238018,99.93461648820039,11488980
2009-04-22,93.61541748046875,97.34830322424942,92.61538383756803,96.55517563387136,6584924
2009-04-23,97.95178985595703,98.77078478961447,94.0033784900065,94.74478232521287,7373712
2009-04-24,100.67603302001953,101.21053076175929,96.54657229220992,96.54657229220992,5377524
2009-04-27,103.77959442138672,104.96928601789794,98.71044259232595,100.66740523599404,8141124
2009-04-28,103.19336700439453,104.80548974812349,99.37425990578693,103.29681479191889,8388692
2009-04-29,107.5211181640625,108.45219046336413,103.79685001422132,103.79685001422132,10531292
2009-04-30,107.26243591308594,107.26243591308594,107.26243591308594,107.26243591308594,0
2009-05-04,114.90067291259766,120.62500753228487,108.65044896228507,108.79700172819976,11142936
2009-05-05,112.24539184570312,116.3748519146549,109.67633028062328,115.3489510672433,8822316
2009-05-06,109.54705047607422,112.02128396386924,106.03830743938225,110.04707272062718,52522096
2009-05-07,108.91773223876953,111.21091647372361,106.7797197125921,109.6591362438577,7738864
2009-05-08,108.78838348388672,110.69362207055197,106.64175272684797,108.27974246153683,9001752
2009-05-11,106.08140563964844,110.28845787448873,105.00378063315058,110.09017066382044,5298612
2009-05-12,110.5384521484375,111.34882821181071,105.17619463160983,105.17619463160983,9487452
2009-05-13,107.19354248046875,111.19368956946968,106.03832609148323,110.69366723696298,7324800
2009-05-14,106.86588287353516,108.10730861790228,104.36579359927744,106.55552906836301,9443176
2009-05-15,111.04710388183594,112.90923786071878,107.59008483133476,107.59008483133476,10942472
2009-05-18,128.25465393066406,136.48771157157498,119.8319384383894,132.1772101888991,73380
2009-05-19,115.4782485961914,129.3149480360486,113.03850236710699,129.3149480360486,13015576
2009-05-20,116.66803741455078,121.03026281308489,114.31449939402324,115.52143980994808,8507664
2009-05-21,111.63331604003906,118.10768406159946,111.03846501557672,115.52138441061552,4459324
2009-05-22,109.32288360595703,111.21088444664778,108.62458480835365,108.62458480835365,5861456
2009-05-25,108.85733795166016,111.03845466344961,107.35729271288304,109.65909497818937,5673644
2009-05-26,107.66764831542969,110.28843386544148,106.98658735484906,109.47805793223212,6058900
2009-05-27,111.82299041748047,112.41784153031435,108.7625353758193,108.7625353758193,9222868
2009-05-28,114.3488998413086,116.19379519963474,107.48658872240775,107.48658872240775,16863676
2009-05-29,121.4870834350586,122.41815530459282,112.52987612431971,115.30583290133302,13871224
2009-06-01,120.28880310058594,122.3923184349156,116.09898917307133,116.09898917307133,7905804
2009-06-02,119.78878784179688,122.41819268467188,118.96979289073745,120.69399278770467,4118172
2009-06-03,120.15081024169922,121.51293174207052,117.78003647589082,118.9697380660215,3914944
2009-06-04,121.93540954589844,122.24576339901604,118.34044671988569,118.45252391413825,7020704
2009-06-05,124.37510681152344,125.6423995553467,120.06460875160127,122.24572497939265,13220132
2009-06-08,127.95284271240234,129.27185956026804,124.14236596651283,124.95274184908554,9267824
2009-06-09,134.85829162597656,137.07388416048198,126.05624322414845,126.05624322414845,9690708
2009-06-10,134.79795837402344,138.79810461166753,132.2892493954061,135.34970449709192,9383796
2009-06-11,133.64276123046875,136.6342550693634,132.7634232857121,135.8669838300534,3883200
2009-06-12,131.8236846923828,137.03938873477748,131.24608200790354,135.34967514974588,6358660
2009-06-15,134.1427459716797,135.34968584546087,130.17708638639866,131.84956231623156,6595868
